,iter,step,reward
0,1040.0,6656.0,-1032.036
1,2080.0,13312.0,-1006.03
2,3120.0,19968.0,-1564.073
3,4160.0,26624.0,-54.07
4,5200.0,33280.0,-67.008
5,6240.0,39936.0,-94.953
6,7280.0,46592.0,-61.572
7,8320.0,53248.0,-76.22
8,9360.0,59904.0,-160.289
9,10400.0,66560.0,-174.892
10,11440.0,73216.0,-23.222
11,12480.0,79872.0,-129.123
12,13520.0,86528.0,-13.078
13,14560.0,93184.0,111.773
14,15600.0,99840.0,154.138
15,16640.0,106496.0,111.094
16,17680.0,113152.0,-100.707
17,18720.0,119808.0,-283.327
18,19760.0,126464.0,138.499
19,20800.0,133120.0,22.315
20,21840.0,139776.0,6.17
21,22880.0,146432.0,-16.016
22,23920.0,153088.0,249.789
23,24960.0,159744.0,126.246
24,26000.0,166400.0,141.535
25,27040.0,173056.0,166.762
26,28080.0,179712.0,194.284
27,29120.0,186368.0,195.216
28,30160.0,193024.0,236.948
29,31200.0,199680.0,177.554
30,32240.0,206336.0,178.085
31,33280.0,212992.0,130.37
32,34320.0,219648.0,146.35
33,35360.0,226304.0,180.881
34,36400.0,232960.0,186.554
35,37440.0,239616.0,204.068
36,38480.0,246272.0,197.787
37,39520.0,252928.0,245.534
38,40560.0,259584.0,198.907
39,41600.0,266240.0,243.801
40,42640.0,272896.0,257.447
41,43680.0,279552.0,242.663
42,44720.0,286208.0,235.33
43,45760.0,292864.0,200.632
44,46800.0,299520.0,259.679
45,47840.0,306176.0,251.601
46,48880.0,312832.0,259.168
47,49920.0,319488.0,250.678
48,50960.0,326144.0,236.637
49,52000.0,332800.0,255.926
50,53040.0,339456.0,239.126
51,54080.0,346112.0,246.503
52,55120.0,352768.0,260.021
53,56160.0,359424.0,262.405
54,57200.0,366080.0,246.174
55,58240.0,372736.0,255.202
56,59280.0,379392.0,256.26
57,60320.0,386048.0,252.329
58,61360.0,392704.0,220.23
59,62400.0,399360.0,214.992
60,63440.0,406016.0,245.088
61,64480.0,412672.0,260.788
62,65520.0,419328.0,266.246
63,66560.0,425984.0,267.094
64,67600.0,432640.0,268.333
65,68640.0,439296.0,272.699
66,69680.0,445952.0,232.587
67,70720.0,452608.0,233.91
68,71760.0,459264.0,237.337
69,72800.0,465920.0,239.386
70,73840.0,472576.0,267.746
71,74880.0,479232.0,271.531
72,75920.0,485888.0,269.405
73,76960.0,492544.0,206.376
74,78000.0,499200.0,233.184
75,79040.0,505856.0,250.382
76,80080.0,512512.0,254.333
77,81120.0,519168.0,236.452
78,82160.0,525824.0,265.522
79,83200.0,532480.0,147.83
80,84240.0,539136.0,274.414
81,85280.0,545792.0,271.13
82,86320.0,552448.0,232.081
83,87360.0,559104.0,227.983
84,88400.0,565760.0,234.515
85,89440.0,572416.0,262.228
86,90480.0,579072.0,270.69
87,91520.0,585728.0,267.452
88,92560.0,592384.0,272.762
89,93600.0,599040.0,234.058
90,94640.0,605696.0,231.031
91,95680.0,612352.0,240.039
92,96720.0,619008.0,228.22
93,97760.0,625664.0,234.963
94,98800.0,632320.0,258.123
95,99840.0,638976.0,234.332
96,100880.0,645632.0,232.568
97,101920.0,652288.0,273.813
98,102960.0,658944.0,270.888
99,104000.0,665600.0,237.277
100,105040.0,672256.0,271.322
101,106080.0,678912.0,271.791
102,107120.0,685568.0,271.565
103,108160.0,692224.0,269.216
104,109200.0,698880.0,268.275
105,110240.0,705536.0,236.123
106,111280.0,712192.0,273.101
107,112320.0,718848.0,267.563
108,113360.0,725504.0,262.663
109,114400.0,732160.0,234.367
110,115440.0,738816.0,230.877
111,116480.0,745472.0,223.547
112,117520.0,752128.0,252.96
113,118560.0,758784.0,255.524
114,119600.0,765440.0,249.614
115,120640.0,772096.0,246.276
116,121680.0,778752.0,245.989
117,122720.0,785408.0,227.087
118,123760.0,792064.0,237.88
119,124800.0,798720.0,258.954
120,125840.0,805376.0,233.018
121,126880.0,812032.0,232.617
122,127920.0,818688.0,263.603
123,128960.0,825344.0,223.701
124,130000.0,832000.0,249.442
125,131040.0,838656.0,264.902
126,132080.0,845312.0,264.44
127,133120.0,851968.0,271.182
128,134160.0,858624.0,235.47
129,135200.0,865280.0,268.927
130,136240.0,871936.0,257.981
131,137280.0,878592.0,270.18
132,138320.0,885248.0,271.095
133,139360.0,891904.0,272.864
134,140400.0,898560.0,273.064
135,141440.0,905216.0,266.257
136,142480.0,911872.0,272.498
137,143520.0,918528.0,238.513
138,144560.0,925184.0,266.976
139,145600.0,931840.0,273.168
140,146640.0,938496.0,240.049
141,147680.0,945152.0,269.946
142,148720.0,951808.0,215.385
143,149760.0,958464.0,132.607
144,150800.0,965120.0,266.771
145,151840.0,971776.0,239.848
146,152880.0,978432.0,271.224
147,153920.0,985088.0,268.337
148,154960.0,991744.0,230.875
149,156000.0,998400.0,267.234
150,157040.0,1005056.0,239.334
151,158080.0,1011712.0,271.186
152,159120.0,1018368.0,269.316
153,160160.0,1025024.0,272.22
154,161200.0,1031680.0,268.75
155,162240.0,1038336.0,272.868
156,163280.0,1044992.0,208.46
157,164320.0,1051648.0,204.304
158,165360.0,1058304.0,150.759
159,166400.0,1064960.0,245.436
160,167440.0,1071616.0,257.722
161,168480.0,1078272.0,251.84
162,169520.0,1084928.0,256.03
163,170560.0,1091584.0,248.245
164,171600.0,1098240.0,260.964
165,172640.0,1104896.0,208.098
166,173680.0,1111552.0,253.259
167,174720.0,1118208.0,249.792
168,175760.0,1124864.0,255.419
169,176800.0,1131520.0,266.044
170,177840.0,1138176.0,79.694
171,178880.0,1144832.0,262.026
172,179920.0,1151488.0,221.751
173,180960.0,1158144.0,186.022
174,182000.0,1164800.0,257.449
175,183040.0,1171456.0,243.554
176,184080.0,1178112.0,200.382
177,185120.0,1184768.0,230.872
178,186160.0,1191424.0,159.341
179,187200.0,1198080.0,152.977
180,188240.0,1204736.0,251.81
181,189280.0,1211392.0,149.62
182,190320.0,1218048.0,271.64
183,191360.0,1224704.0,274.926
184,192400.0,1231360.0,263.974
185,193440.0,1238016.0,272.979
186,194480.0,1244672.0,218.487
187,195520.0,1251328.0,214.15
188,196560.0,1257984.0,269.354
189,197600.0,1264640.0,212.269
190,198640.0,1271296.0,238.17
191,199680.0,1277952.0,227.92
192,200720.0,1284608.0,234.12
193,201760.0,1291264.0,239.307
194,202800.0,1297920.0,266.768
195,203840.0,1304576.0,266.782
196,204880.0,1311232.0,228.464
197,205920.0,1317888.0,210.334
198,206960.0,1324544.0,242.12
199,208000.0,1331200.0,233.591
200,209040.0,1337856.0,230.393
201,210080.0,1344512.0,259.626
202,211120.0,1351168.0,239.427
203,212160.0,1357824.0,267.06
204,213200.0,1364480.0,208.185
205,214240.0,1371136.0,267.182
206,215280.0,1377792.0,239.914
207,216320.0,1384448.0,237.681
208,217360.0,1391104.0,242.467
209,218400.0,1397760.0,264.131
210,219440.0,1404416.0,274.691
211,220480.0,1411072.0,275.628
212,221520.0,1417728.0,247.896
213,222560.0,1424384.0,262.998
214,223600.0,1431040.0,270.721
215,224640.0,1437696.0,234.713
216,225680.0,1444352.0,267.958
217,226720.0,1451008.0,230.666
218,227760.0,1457664.0,269.357
219,228800.0,1464320.0,267.326
220,229840.0,1470976.0,272.688
221,230880.0,1477632.0,233.97
222,231920.0,1484288.0,250.81
223,232960.0,1490944.0,277.848
224,234000.0,1497600.0,232.417
225,235040.0,1504256.0,266.371
226,236080.0,1510912.0,266.614
227,237120.0,1517568.0,231.974
228,238160.0,1524224.0,271.626
229,239200.0,1530880.0,268.486
230,240240.0,1537536.0,210.607
231,241280.0,1544192.0,204.944
232,242320.0,1550848.0,269.452
233,243360.0,1557504.0,275.217
234,244400.0,1564160.0,263.649
235,245440.0,1570816.0,49.717
236,246480.0,1577472.0,216.689
237,247520.0,1584128.0,237.684
238,248560.0,1590784.0,211.601
239,249600.0,1597440.0,271.159
240,250640.0,1604096.0,271.444
241,251680.0,1610752.0,211.135
242,252720.0,1617408.0,248.363
243,253760.0,1624064.0,239.443
244,254800.0,1630720.0,269.292
245,255840.0,1637376.0,261.644
246,256880.0,1644032.0,158.968
247,257920.0,1650688.0,186.856
